SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,2425 W Roosevelt Rd,Chicago,IL,60608,229000,,,CHI - Near West Side,,8712,,1,,,Active,,,https://www.redfin.com/IL/Chicago/2425-W-Roosevelt-Rd-60608/home/147714067,MRED,11645519,N,Y,41.86616,-87.6870299
MLS Listing,,Condo/Co-op,3249 W Hirsch St #101,Chicago,IL,60651,169900,2,2.0,CHI - Humboldt Park,900,,1896,1,189,125,Active,,,https://www.redfin.com/IL/Chicago/3249-W-Hirsch-St-60651/unit-101/home/26810511,MRED,11645510,N,Y,41.9063586,-87.7088014
MLS Listing,,Multi-Family (2-4 Unit),5823 N Rockwell St,Chicago,IL,60659,525000,5,3.0,CHI - West Ridge,,,1925,1,,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/5823-N-Rockwell-St-60659/home/182134976,MRED,11645509,N,Y,41.9874846,-87.6941851
MLS Listing,,Multi-Family (2-4 Unit),6935 N Hamilton Ave,Chicago,IL,60645,515000,12,5.5,CHI - West Ridge,,,1925,1,,,Active,October-8-2022 12:00 PM,October-8-2022 01:30 PM,https://www.redfin.com/IL/Chicago/6935-N-Hamilton-Ave-60645/home/182134966,MRED,11643616,N,Y,42.0074201,-87.6836615
MLS Listing,,Single Family Residential,4054 W Warwick Ave,Chicago,IL,60641,1650000,5,3.5,Old Irving,5600,6250,2002,1,295,,Active,October-8-2022 10:00 AM,October-8-2022 11:30 AM,https://www.redfin.com/IL/Chicago/4054-W-Warwick-Ave-60641/home/13458478,MRED,11636646,N,Y,41.9493273,-87.7296323
MLS Listing,,Single Family Residential,116 E 120th St,Chicago,IL,60628,199900,4,2.0,CHI - West Pullman,1100,5623,1952,1,182,,Active,,,https://www.redfin.com/IL/Chicago/116-E-120th-St-60628/home/13058129,MRED,11645502,N,Y,41.6764361,-87.6197371
MLS Listing,,Vacant Land,2902 W Flournoy St,Chicago,IL,60612,39999,,,CHI - East Garfield Park,,3049,,1,,,Active,,,https://www.redfin.com/IL/Chicago/2902-W-Flournoy-St-60612/home/147815984,MRED,11645491,N,Y,41.8731266,-87.6987486
MLS Listing,,Single Family Residential,2653 E 127th St,Chicago,IL,60633,275000,4,2.0,CHI - Hegewisch,1440,,1972,1,191,,Active,,,https://www.redfin.com/IL/Chicago/2653-E-127th-St-60633/home/13033795,MRED,11645483,N,Y,41.6644516,-87.5584152
MLS Listing,,Single Family Residential,3316 W 114th St,Chicago,IL,60655,399000,3,2.0,CHI - Mount Greenwood,1985,3689,1996,1,201,,Active,,,https://www.redfin.com/IL/Chicago/3316-W-114th-St-60655/home/13135864,MRED,11645481,N,Y,41.6867778,-87.7037328
MLS Listing,,Vacant Land,2908 W Flournoy St,Chicago,IL,60612,39999,,,CHI - East Garfield Park,,3049,,1,,,Active,,,https://www.redfin.com/IL/Chicago/2908-W-Flournoy-St-60612/home/175173026,MRED,11645476,N,Y,41.8731139,-87.698923
MLS Listing,,Single Family Residential,11621 S Vincennes Ave,Chicago,IL,60643,229900,5,3.0,CHI - Morgan Park,1522,3123,1924,1,151,,Active,,,https://www.redfin.com/IL/Chicago/11621-S-Vincennes-Ave-60643/home/12598477,MRED,11645475,N,Y,41.6826077,-87.6684965
MLS Listing,,Single Family Residential,846 N Washtenaw Ave,Chicago,IL,60622,485000,3,2.5,CHI - West Town,1228,3149,1892,1,395,,Active,October-8-2022 11:00 AM,October-8-2022 12:30 PM,https://www.redfin.com/IL/Chicago/846-N-Washtenaw-Ave-60622/home/13287240,MRED,11643209,N,Y,41.8971125,-87.6948011
MLS Listing,,Single Family Residential,8003 S Bennett Ave,Chicago,IL,60617,285000,7,3.0,CHI - South Chicago,2450,5187,1922,1,116,,Active,,,https://www.redfin.com/IL/Chicago/8003-S-Bennett-Ave-60617/home/13220738,MRED,11645471,N,Y,41.7496109,-87.5781058
MLS Listing,,Single Family Residential,9539 S Forest Ave,Chicago,IL,60628,289900,4,2.0,CHI - Roseland,2060,3720,1958,1,141,,Active,,,https://www.redfin.com/IL/Chicago/9539-S-Forest-Ave-60628/home/13088829,MRED,11645472,N,Y,41.720679,-87.6162564
MLS Listing,,Single Family Residential,5931 S Moody Ave,Chicago,IL,60638,620000,4,3.5,CHI - Clearing,2558,4412,2005,1,242,,Active,,,https://www.redfin.com/IL/Chicago/5931-S-Moody-Ave-60638/home/14003150,MRED,11639818,N,Y,41.7841964,-87.7751226
MLS Listing,,Single Family Residential,5410 S Latrobe Ave,Chicago,IL,60638,375000,3,3.0,CHI - Garfield Ridge,1550,3781,1929,1,242,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/5410-Latrobe-Ave-60638/home/14024299,MRED,11645462,N,Y,41.79432,-87.7540547
MLS Listing,,Single Family Residential,3805 N Pittsburgh Ave,Chicago,IL,60634,380000,3,2.5,CHI - Dunning,1200,,1969,1,317,,Active,,,https://www.redfin.com/IL/Chicago/3805-N-Pittsburgh-Ave-60634/home/13545623,MRED,11645454,N,Y,41.9487169,-87.8326217
